73218957	$	0.3430
263740710728114177C	$	0.2615
I	O	0.9972
tell	V	0.9991
Katie	^	0.9992
theres	L	0.4686
supposed	A	0.9484
to	P	0.9979
be	V	0.9998
a	D	0.9779
good	A	0.9977
firework	N	0.9516
display	N	0.9354
in	P	0.9974
Banff	^	0.9914
this	D	0.9425
Saturday	^	0.9365
She	O	0.7696
replies	V	0.8433
with	P	0.9964
oh	!	0.8477
right	!	0.4655
during	P	0.9964
the	D	0.9997
day	N	0.9964
yeah	!	0.9879
Yeah	!	0.9983


287477398	$	0.3553
100185002276425728E	$	0.7675
DickieV	^	0.3692
Verlander	^	0.9997
is	V	0.9950
possibly	R	0.9976
ahead	R	0.7859
of	P	0.9928
CC	^	0.6032
more	A	0.4711
SOs	^	0.4547
better	A	0.9159
ERA	N	0.9786
but	&	0.9884
CC	^	0.4565
will	V	0.9539
bounce	V	0.9983
back	R	0.8325
after	P	0.7775
last	A	0.9814
nights	N	0.9910
outing	N	0.9056
like	P	0.9890
he	O	0.9991
always	R	0.9971
does	V	0.9992


31037343	$	0.2810
238453939270471680H	$	0.4595
JETT	^	0.7268
LOUNGE	^	0.9235
THURSDAY	^	0.9977
NIGHT	N	0.8120
its	L	0.9792
gonna	V	0.9928
be	V	0.9992
HOT	A	0.8673
come	N	0.5802
party	N	0.8810
with	P	0.9998
me	O	0.9991
and	&	0.9935
Kenny	^	0.9991
Smoove	^	0.5398
he	O	0.9936
is	V	0.9997
one	$	0.9614
of	P	0.9994
the	D	0.9996
hottest	A	0.9927
Producers	N	0.9958
and	&	0.9979
many	A	0.8183
more	A	0.6254


320428296	$	0.2890
253716160393138177B	$	0.3386
Native	A	0.8444
America	^	0.9884
day	N	0.9942
is	V	0.9984
coming	V	0.9970
up	T	0.9484
next	A	0.5957
Thursday	^	0.8718
CHR1ST1NAN	^	0.9385
and	&	0.9994
I	O	0.9984
are	V	0.9997
going	V	0.9966
all	D	0.6607
out	P	0.3946
JoinTheTribe	^	0.8017
MySoulisNative	^	0.8870


227179643	$	0.3496
118167201797775360A	$	0.5153
Curtis	^	0.9954
Painter	^	0.5076
is	V	0.9890
totally	R	0.9981
going	V	0.9932
to	P	0.9916
get	V	0.9997
lucky	A	0.9970
tonight	N	0.6057
probably	R	0.9993
with	P	0.9985
another	D	0.9974
girl	N	0.9965
that	P	0.9220
looks	V	0.9884
just	R	0.9999
like	P	0.5001
him	O	0.9956


247855533	$	0.3511
188863888765370368C	$	0.5174
I	O	0.9982
wish	V	0.9988
Stevie	^	0.9966
TV	N	0.7171
was	V	0.9924
on	P	0.8566
id	O	0.5889
be	V	0.9991
laughing	V	0.9560
right	R	0.9473
now	R	0.9958
wellPandora	V	0.2508
it	O	0.9982
is	V	0.9992


69508768	$	0.3168
101814905275039744C	$	0.6330
PlainPete	^	0.5245
yah	!	0.6134
I	O	0.9990
know	V	0.9999
its	L	0.9969
on	P	0.9299
But	&	0.9956
it	O	0.9986
keeps	V	0.9988
saying	V	0.9904
Monday	^	0.9741
night	N	0.9566
football	N	0.9862
and	&	0.9974
says	V	0.9964
MNF	^	0.9471
on	P	0.9979
the	D	0.9994
scoreboard	N	0.9961
Im	L	0.9900
just	R	0.9999
confused	A	0.5069
bc	P	0.9881
its	L	0.9049
Thursday	^	0.9565


20756067	$	0.4669
259374136181288960D	$	0.3246
Urban	^	0.9742
Outfitters	^	0.8197
10	$	0.9992
off	P	0.5463
with	P	0.9967
College	^	0.5422
ID	^	0.6808
til	P	0.8297
Sunday	^	0.9386
night	N	0.9496
Doesnt	V	0.9931
matter	V	0.9158
how	R	0.9977
old	A	0.9935
it	O	0.9945
is	V	0.9995
I	O	0.9994
hope	V	0.9991
someone	N	0.8612
brings	V	0.9993
their	D	0.7830
ID	N	0.3648
from	P	0.9967
ages	N	0.7982
ago	R	0.8993


147899715	$	0.6433
263804057913815040E	$	0.4280
Vbnss	^	0.7376
Daily	^	0.9421
Digit	N	0.6319
Exchanges	N	0.9791
lost	V	0.5658
1	$	0.9962
mln	N	0.4376
a	D	0.9838
day	N	0.9867
Oct	^	0.9374
31	$	0.9866
NYSE	N	0.7506
Nasdaq	N	0.8691
and	&	0.9927
the	D	0.9972
CBOE	^	0.9197
each	D	0.8070
lost	A	0.5745
about	P	0.9763
1	$	0.9982
million	$	0.5831
in	P	0.9842
URL	N	0.6085


116628196	$	0.6274
203977468904878081C	$	0.3705
VeloNews	^	0.6235
Tom	^	0.9997
Boonen	^	0.9924
happy	A	0.9572
with	P	0.9992
Amgen	^	0.9989
Tour	N	0.8214
so	R	0.8796
far	R	0.9063
but	&	0.9863
hopes	V	0.9870
for	P	0.9918
first	A	0.9009
win	V	0.5317
in	P	0.9663
Sundays	^	0.7947
final	A	0.9785
stage	N	0.9930
in	P	0.9987
LA	^	0.9918
Then	R	0.9358
URL	^	0.3678


163041118	$	0.6227
261390324688097280B	^	0.3101
nw	^	0.6381
B2STs	^	0.7715
3rd	A	0.4392
anniversary	N	0.9989
live	A	0.4901
stream	N	0.9779
with	P	0.9981
subs	N	0.9480
yay	!	0.9336


148181135	$	0.6321
104216608972607488B	$	0.4985
Next	A	0.9239
person	N	0.9958
to	P	0.9984
comment	V	0.9846
below	P	0.9646
wins	V	0.6602
4	$	0.7391
